Tipo,Nome/Sigla,Endereco,Bairro,Computadores Disponiveis,Latitude,Longitude
Centro de Inclusão Digital,AP 14,"BECO COQUEIRO, 124",VILA MONTE SÃO JOSÉ,Não Informado,-19.9860502,-43.4538542
Centro de Inclusão Digital,AP 10,"TRAVESSA ANDIROBA, 143",VILA ANDIROBA,Não Informado,-19.8657849,-43.9263626
Centro de Inclusão Digital,AP 02,"TRAVESSA ANDIROBA, 24",VILA ANDIROBA,Não Informado,-19.8657849,-43.9263626
Centro de Inclusão Digital,AP 02,"BECO DO ANDRÉ, 270",VILA SÃO VICENTE,Não Informado,-19.8211375,-43.9623488
Centro de Inclusão Digital,AP 03,"RUA SEIS A, 163",VILA BANDEIRANTES,Não Informado,-19.9944299,-43.9941308
Centro de Inclusão Digital,AP 02,"RUA CORNELIO MACHADO, 30",VILA TRINTA E UM DE MARÇO,Não Informado,-19.9211791,-44.00029
Centro de Inclusão Digital,AP 10,"RUA EUCALIPTO, 80",VILA MONTE SÃO JOSÉ,Não Informado,-19.8922274,-43.9900502
Centro de Inclusão Digital,AP 04,"TRAVESSA ANDIROBA, 52",VILA ANDIROBA,Não Informado,-19.8657849,-43.9263626
Centro de Inclusão Digital,AP 02,"RUA ONOFRE FIRMINO DA SILVA, 155",VILA SÃO DIMAS,Não Informado,-19.8599963,-43.9198854
Centro de Inclusão Digital,AP 01,"RUA DESEMBARGADOR VELOSO, 20/30",VILA PARAÍSO,Não Informado,-19.9231361,-43.9015972
Centro de Inclusão Digital,AP 01,"RUA UM, 98",VILA TIROL,Não Informado,-19.8328695,-43.9352226
Centro de Inclusão Digital,AP 03,"RUA UM, 113A",VILA TIROL,Não Informado,-19.8328695,-43.9352226
Centro de Inclusão Digital,AP 06,"RUA AGUIA DOURADA, 40",VILA BERNADETE,Não Informado,-19.9837254,-43.9828314
Centro de Inclusão Digital,AP 12,"RUA DA ASSEMBLEIA, 187",VILA MONTE SÃO JOSÉ,Não Informado,-19.9424319,-43.952551
Centro de Inclusão Digital,AP 02,"BECO NOVA ERA, 57",VILA TIROL,Não Informado,-19.9539716,-43.9405001
Centro de Inclusão Digital,AP 03,"RUA ONESIMO SEPULVEDA E SILVA, 200",VILA SÃO DIMAS,Não Informado,-19.8603129,-43.9207654
Centro de Inclusão Digital,AP 08,"BECO DO ANDRÉ, 40",VILA SÃO VICENTE,Não Informado,-19.8211375,-43.9623488
Centro de Inclusão Digital,AP 02,"RUA JOSÉ DE OLIVEIRA, 84",VILA COPASA,Não Informado,-19.9926968,-44.004313
Centro de Inclusão Digital,AP 01,"RUA F, 50",VILA BERNADETE,Não Informado,-19.9982443,-44.0163251
Centro de Inclusão Digital,AP 03,"BECO SÃO MARCOS, 356",VILA DOS ANJOS,Não Informado,-19.9498044,-43.999895
Centro de Inclusão Digital,AP 09,"RUA PACHA, 180",VILA MONTE SÃO JOSÉ,Não Informado,-19.9426573,-43.9523454
Centro de Inclusão Digital,AP 01,"RUA ITU, 42",VILA DO POMBAL,Não Informado,-19.8906935,-43.9391618
Centro de Inclusão Digital,AP 01,"RUA DO COBRE, 159A",VILA FUMEC,Não Informado,-20.4016933,-43.5053152
Centro de Inclusão Digital,AP 01,"RUA BRASIL TRI CAMPEAO, 123",VILA TRINTA E UM DE MARÇO,Não Informado,-19.9216479,-44.0008498
Centro de Inclusão Digital,AP 03,"RUA IMBIACA, 84",VILA TRINTA E UM DE MARÇO,Não Informado,-19.920425,-43.9990361
Centro de Inclusão Digital,AP 01,"RUA ARCOS, 351",VILA VERA CRUZ II,Não Informado,-19.9123577,-43.8975507
Centro de Inclusão Digital,AP 02,"RUA MODESTINO ROCHA, 87",VILA NOVA CACHOEIRINHA II,Não Informado,-19.8879223,-43.9557503
Centro de Inclusão Digital,AP 01,"TRAVESSA ANDIROBA, 13",VILA ANDIROBA,Não Informado,-19.8657849,-43.9263626
Centro de Inclusão Digital,AP 02,"BECO SANTA MONICA, 91",VILA DOS ANJOS,Não Informado,-19.8202925,-43.995535
Centro de Inclusão Digital,AP 05,"BECO SOSSEGO, 30",VILA MONTE SÃO JOSÉ,Não Informado,-19.9426573,-43.9523454
Centro de Inclusão Digital,AP 04,"BECO GUAIAUNA, 294",VILA DELTA,Não Informado,-19.9241566,-44.0031973
