Tipo,Nome/Sigla,Endereco,Bairro,Computadores Disponiveis,Latitude,Longitude
Centro de Inclusão Digital,Escola Aberta Professora Isaura Santos,"RUA HOFFMAN, 80",Santa Helena,Não Informado,-19.9930305,-44.0141172
Centro de Inclusão Digital,Escola Aberta Benjamim Jacob,"RUA VENEZUELA, 643",Sion,Não Informado,-19.953877,-43.9368454
Centro de Inclusão Digital,Escola Aberta IMACO,"RUA GONCALVES DIAS, 1180",Boa Viagem,Não Informado,-19.9261508,-43.95841
Centro de Inclusão Digital,ABRIGO FREI OTTO,"RUA RUI BARBOSA, 299",Santa Mônica,3.0,-19.8340551,-43.8717721
Centro de Inclusão Digital,LAR DONA PAULA,"RUA HENRIQUE GORCEIX, 315",Padre Eustáquio,5.0,-19.9173968,-43.979763
Centro de Inclusão Digital,LAR DOS IDOSOS RECANTO DOS AMIGOS,"RUA DAS PETUNIAS, 1814",Lindéia,4.0,-19.9830573,-44.0451707
Centro de Inclusão Digital,IGREJA BATISTA EM JATOBÁ,"RUA FABIOLA LEMOS NAVES, 12",Jatobá,15.0,-19.9896052,-44.0551277
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA BIQUINHAS,"RUA CORONEL JOAQUIM TIBURCIO, 850",Heliópolis,11.0,-19.8400458,-43.9410822
Centro de Inclusão Digital,CENTRO CULTURAL VENDA NOVA,"RUA JOSE FERREIRA DOS SANTOS, 184",Jardim dos Comerciários,4.0,-19.7967851,-43.9744254
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS LAGOA,"RUA JOSE SABINO MACIEL, 120",Lagoa,5.0,-19.8087258,-43.9996667
Centro de Inclusão Digital,LAR DAS IDOSAS SANTA GEMA GALGÂNI - SSVP,"RUA APOLO, 507",Monsenhor Messias,2.0,-19.9080064,-43.9786315
Centro de Inclusão Digital,CRECHE COMUNITÁRIA TIA FRANCISCA,"RUA PAULO DUARTE, 320",Santa Cecília,11.0,-19.9998276,-44.0335071
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA MARIA,"RUA PROFESSOR AMILCAR VIANA MARTINS, 65",Jardim Vitória,7.0,-19.8492162,-43.8849273
Centro de Inclusão Digital,ASSOCIAÇÃO CENTRO DE UNIFICAÇÃO SOCIAL,"ROD MG CINCO, 430",Maria Goretti,10.0,-19.8604833,-43.9051796
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS CONJUNTO PAULO VI,"RUA NEBLINA, 120",Conjunto Paulo VI,12.0,-19.8323585,-43.8874468
Centro de Inclusão Digital,IGREJA DO EVANGELHO QUADRANGULAR CARLOS PRATES,"RUA LAGOA SANTA, 303",Carlos Prates,10.0,-19.9154963,-43.9499486
Centro de Inclusão Digital,CENTRO DE CONVIVÊNCIA MARCUS MATRAGA | VENDA NOVA,"RUA EXPEDICIONARIO AMERICO FERNANDES, 116",São João Batista,11.0,-19.8232088,-43.9609217
Centro de Inclusão Digital,COMUNIDADE KOLPING MINAS CAIXA,"RUA PADRE ADOLFO KOLPING, 170",Minascaixa,12.0,-19.8050902,-43.9573116
Centro de Inclusão Digital,ASSOCIAÇÃO PRÓ-MELHORAMENTO DA VILA CEMIG,"RUA COLETIVO, 66",Vila CEMIG,10.0,-19.9963441,-43.992898
Centro de Inclusão Digital,ASSOCIAÇÃO DAS MULHERES DA VILA DA NOSSA SENHORA APARECIDA E SÃO LUCAS,"RUA PAULINO MARQUES GONTIJO, 222",Nossa Senhora da Aparecida,8.0,-19.9306781,-43.9170903
Centro de Inclusão Digital,AP 01,"AVENIDA AMAZONAS, 6728",VILA NOVA GAMELEIRA III,Não Informado,-19.9218027,-43.9435973
Centro de Inclusão Digital,AP 01,"RUA TENENTE MAURICIO SÁVIO, 122",VILA CASTELO DE MANACÁS,Não Informado,-19.8945535,-43.9936858
Centro de Inclusão Digital,AP 09,"RUA MAJOR MESQUITA, 72",VILA CASTELO DE MANACÁS,Não Informado,-19.8949548,-43.9942264
Centro de Inclusão Digital,AP 02,"BECO DA GROTA, 76",VILA CONJUNTO MINASCAIXA,Não Informado,-19.8019632,-43.9586689
Centro de Inclusão Digital,AP 17,"RUA EPHIGENIA NATIVIDADE, 12",VILA CASTELO DE MANACÁS,Não Informado,-19.8963904,-43.9935456
Centro de Inclusão Digital,AP 15,"RUA EPHIGENIA NATIVIDADE, 109",VILA CASTELO DE MANACÁS,Não Informado,-19.8963904,-43.9935456
Centro de Inclusão Digital,AP 11,"RUA EPHIGENIA NATIVIDADE, 60",VILA CASTELO DE MANACÁS,Não Informado,-19.8963904,-43.9935456
Centro de Inclusão Digital,AP 02,"RUA NOSSA SENHORA DA EUCARISTIA, 375",VILA BIQUINHAS,Não Informado,-19.8434206,-43.9444204
Centro de Inclusão Digital,AP 03,"RUA DOUTOR MIGUEL GONTIJO, 191",VILA BIQUINHAS,Não Informado,-19.8414219,-43.9433898
Centro de Inclusão Digital,AP 06,"RUA MIGUEL ARANHA DE AZEVEDO, 602",VILA BIQUINHAS,Não Informado,-19.8381718,-43.9438507
Centro de Inclusão Digital,AP 07,"RUA LOBO LEITE, 73",VILA BIQUINHAS,Não Informado,-19.8377347,-43.940347
Centro de Inclusão Digital,AP 05,"RUA DAS CLARISSAS, 1100",VILA BIQUINHAS,Não Informado,-19.839929,-43.9453474
Centro de Inclusão Digital,AP 01,"RUA ITABIRINHA, 67",VILA VARZEA DA PALMA,Não Informado,-19.8247568,-43.9852537
Centro de Inclusão Digital,AP 14,"RUA EPHIGENIA NATIVIDADE, 167",VILA CASTELO DE MANACÁS,Não Informado,-19.8963904,-43.9935456
Centro de Inclusão Digital,AP 01,"RUA DOS VICENTINOS, 382",VILA BIQUINHAS,Não Informado,-19.8433009,-43.9426926
Centro de Inclusão Digital,AP 02,"RUA TENENTE MAURICIO SAVIO, 201",VILA CASTELO DE MANACÁS,Não Informado,-19.8945535,-43.9936858
Centro de Inclusão Digital,AP 07,"RUA TENENTE MAURICIO SAVIO, S/N",VILA CASTELO DE MANACÁS,Não Informado,-19.8945535,-43.9936858
Centro de Inclusão Digital,AP 04,"AVENIDA BARONESA DE SANTA LUZIA, 265",VILA BIQUINHAS,Não Informado,-19.7946075,-43.9057925
Centro de Inclusão Digital,AP 01,"BECO DA GROTA, 205",VILA CONJUNTO MINASCAIXA,Não Informado,-19.8019632,-43.9586689
Centro de Inclusão Digital,AP 04,"RUA GERALDO JARDIM LINHARES, 34",VILA CASTELO DE MANACÁS,Não Informado,-19.894979,-43.9919019
Centro de Inclusão Digital,AP 02,"RUA SANTA MARIA, 20",VILA CONJUNTO NOVO DOM BOSCO,Não Informado,-19.8696998,-43.9089575
Centro de Inclusão Digital,AP 02,"BECO OPALA, 59",VILA SÃO FRANCISCO DAS CHAGAS,Não Informado,-19.9140926,-43.9618117
Centro de Inclusão Digital,AP 01,"RUA CINCO DE JULHO,",VILA BOA UNIÃO II,Não Informado,-19.858655,-43.9267135
Centro de Inclusão Digital,AP 01,"RUA SÃO LUIZ, 31B",VILA CONJUNTO NOVO DOM BOSCO,Não Informado,-19.9000932,-43.9176158
Centro de Inclusão Digital,AP02,"RUA FLOR VITÓRIA RÉGIA, 75",CONJUNTO FLORAMAR,Não Informado,-19.8297215,-43.9311971
Centro de Inclusão Digital,AP 03,"BECO OPALA, 60", VILA SÃO FRANCISCO DAS CHAGAS,Não Informado,-19.9140926,-43.9618117
Centro de Inclusão Digital,AP03,"RUA SANTO INÁCIO DE LOYOLA, 34",CONJUNTO FLORAMAR,Não Informado,-19.8280842,-43.92919
Centro de Inclusão Digital,AP 03,"BECO DAS CRIANÇAS, 48B",VILA MALOCA,Não Informado,-19.9473425,-44.0430716
Centro de Inclusão Digital,AP 02,"RUA COSTA JÚNIOR, 173",VILA MALOCA,Não Informado,-19.8800963,-43.9524845
Centro de Inclusão Digital,AP 02,"RUA COLUNA PRESTES, 79",VILA BOA UNIÃO II,Não Informado,-19.8580259,-43.9266909
Centro de Inclusão Digital,AP01,"RUA FLOR DE AÇUCENA, 46",CONJUNTO FLORAMAR,Não Informado,-19.8292531,-43.9316437
Centro de Inclusão Digital,AP 01,"RUA COSTA JUNIOR, 73",VILA MALOCA,Não Informado,-19.8800963,-43.9524845
Centro de Inclusão Digital,AP 03,"BECO E, 76", VILA BERNADETE,Não Informado,-19.9859295,-43.9856826
Centro de Inclusão Digital,AP 09,"RUA TREZE, 9",VILA BERNADETE,Não Informado,-19.9067396,-44.0282574
Centro de Inclusão Digital,AP 07,"RUA TREZE, 45",VILA BERNADETE,Não Informado,-19.9422998,-44.1118499
Centro de Inclusão Digital,AP 02,"RUA QUATORZE, 8",VILA BERNADETE,Não Informado,-19.8195606,-43.8844404
Centro de Inclusão Digital,AP 04,"RUA DOZE, 405",VILA BERNADETE,Não Informado,-19.8168445,-43.9365682
Centro de Inclusão Digital,AP 08,"RUA TREZE, 64",VILA BERNADETE,Não Informado,-19.9067396,-44.0282574
Centro de Inclusão Digital,AP 10,"RUA DO CAMPO,",VILA BERNADETE,Não Informado,-19.951857,-43.9739186
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK12,"BECO BOA VISTA, 25",VILA DO ÍNDIO,Não Informado,-19.9517884,-43.9978136
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK05,RUA DOS MAUES,VILA DO ÍNDIO,Não Informado,-19.830539,-43.9820136
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK02,"BECO SANTA FÉ, 185",VILA DO ÍNDIO,Não Informado,-19.8310401,-43.9816488
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK04,"BECO SANTA FÉ, 35",VILA DO ÍNDIO,Não Informado,-19.8310401,-43.9816488
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK09,"BECO DOM SILVÉRIO, 16",VILA DO ÍNDIO,Não Informado,-19.8295213,-43.9829364
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK06,"BECO UNIÃO, 30",VILA DO ÍNDIO,Não Informado,-19.8017875,-43.9597474
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK07,"BECO DA NOVENA, 94",VILA DO ÍNDIO,Não Informado,-19.8295213,-43.9829364
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK10,"RUA FRANÇA, 91B",VILA DO ÍNDIO,Não Informado,-19.9448479,-43.9690241
Centro de Inclusão Digital,VL-TC1-VILAINDIO,"BECO SANTA FÉ, 80",VILA DO ÍNDIO,Não Informado,-19.8310401,-43.9816488
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK13,"BECO BOA VISTA, 112",VILA DO ÍNDIO,Não Informado,-19.9517884,-43.9978136
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK16,"BECO CONCEIÇÃO DO IPANEMA, 11",VILA DO ÍNDIO,Não Informado,-19.8271009,-43.984205
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK15,"BECO FLOR DE IPÊ, 70",VILA DO ÍNDIO,Não Informado,-19.8271274,-43.983945
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK01,"RUA FRANCISCA GREGORY, 579",VILA DO ÍNDIO,Não Informado,-19.8336638,-43.9810293
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK14,"RUA SANTA RITA DO ITUETO, 5",VILA DO ÍNDIO,Não Informado,-19.8281137,-43.9866742
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK08,"BECO DOM SILVÉRIO, 35",VILA DO ÍNDIO,Não Informado,-19.8295213,-43.9829364
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK17,"BECO DA NOVENA, 142",VILA DO ÍNDIO,Não Informado,-19.8295213,-43.9829364
Centro de Inclusão Digital,VL-VILAINDIO-AP-RK03,"BECO SANTA FÉ, 115",VILA DO ÍNDIO,Não Informado,-19.8310401,-43.9816488
Centro de Inclusão Digital,AP 04,"RUA GUIOMAR PARANHOS, 42",VILA ENGENHO NOGUEIRA,Não Informado,-19.8894826,-43.9855187
Centro de Inclusão Digital,AP 02,"RUA ENGENHO DO OURO, 175",VILA ENGENHO NOGUEIRA,Não Informado,-19.8901246,-43.9836151
Centro de Inclusão Digital,AP 01,"RUA VISCONDE DE CAIRU, 70",VILA CUSTODINHA,Não Informado,-19.9469543,-44.0060157
Centro de Inclusão Digital,AP 02,"RUA ANDRADE, 34",VILA CUSTODINHA,Não Informado,-19.9487215,-44.0074213
Centro de Inclusão Digital,AP 01,"RUA UM, 125",VILA MIRANTE,Não Informado,-19.8328695,-43.9352226
